"id:ID","name","LABEL"
"topic_0","Machine Learning","Topics"
"topic_1","Artificial Intelligence","Topics"
"topic_2","Data Mining","Topics"
"topic_3","Natural Language Processing","Topics"
"topic_4","Computer Vision","Topics"
"topic_5","Robotics","Topics"
"topic_6","Human-Computer Interaction","Topics"
"topic_7","Cybersecurity","Topics"
"topic_8","Software Engineering","Topics"
"topic_9","Databases","Topics"
"topic_10","Networks","Topics"
"topic_11","Cloud Computing","Topics"
"topic_12","Deep Learning","Topics"
"topic_13","Algorithms","Topics"
"topic_14","Computer Graphics","Topics"
"topic_15","Visualization","Topics"
"topic_16","Distributed Systems","Topics"
"topic_17","Parallel Computing","Topics"
"topic_18","Information Retrieval","Topics"
"topic_19","Web Technologies","Topics"
"topic_20","Blockchain","Topics"
"topic_21","IoT","Topics"
"topic_22","Quantum Computing","Topics"
"topic_23","Bioinformatics","Topics"
"topic_24","Game Theory","Topics"
"topic_25","Virtual Reality","Topics"
"topic_26","Augmented Reality","Topics"
"topic_27","Ethics in AI","Topics"
"topic_28","Computational Biology","Topics"
"topic_29","Embedded Systems","Topics"
